"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 10, 2013","1,275.29","1,282.84","1,291.43","1,272.22","-","-0.59%"
"Jul 09, 2013","1,282.84","1,277.29","1,290.73","1,277.29","-","0.43%"
"Jul 08, 2013","1,277.29","1,268.59","1,278.84","1,265.51","-","0.69%"
"Jul 05, 2013","1,268.59","1,280.61","1,289.28","1,266.50","-","-0.94%"
"Jul 04, 2013","1,280.61","1,264.29","1,281.14","1,263.75","-","1.29%"
"Jul 03, 2013","1,264.29","1,274.07","1,276.42","1,252.94","-","-0.77%"
"Jul 02, 2013","1,274.07","1,276.85","1,280.77","1,266.20","-","-0.22%"
"Jul 01, 2013","1,276.85","1,275.44","1,279.56","1,266.71","-","0.11%"
"Jun 28, 2013","1,275.44","1,262.77","1,279.22","1,256.99","-","1.00%"
"Jun 27, 2013","1,262.77","1,261.13","1,270.70","1,253.96","-","0.13%"
"Jun 26, 2013","1,261.13","1,243.20","1,268.41","1,242.89","-","1.44%"
"Jun 25, 2013","1,243.20","1,233.04","1,259.92","1,232.93","-","0.82%"
"Jun 24, 2013","1,233.04","1,245.72","1,251.32","1,227.01","-","-1.02%"
"Jun 21, 2013","1,245.72","1,243.32","1,263.81","1,233.25","-","0.19%"
"Jun 20, 2013","1,243.32","1,291.72","1,297.66","1,243.32","-","-3.75%"
"Jun 19, 2013","1,291.72","1,314.06","1,318.58","1,288.69","-","-1.70%"
"Jun 18, 2013","1,314.06","1,314.01","1,322.67","1,302.82","-","0.00%"
"Jun 17, 2013","1,314.01","1,293.88","1,324.02","1,291.97","-","1.56%"
"Jun 14, 2013","1,293.88","1,261.63","1,298.24","1,261.63","-","2.56%"
"Jun 13, 2013","1,261.63","1,263.66","1,272.04","1,241.21","-","-0.16%"
"Jun 11, 2013","1,263.66","1,300.54","1,310.00","1,258.47","-","-2.84%"
"Jun 10, 2013","1,300.54","1,314.41","1,321.37","1,294.45","-","-1.06%"
"Jun 07, 2013","1,314.41","1,286.86","1,314.41","1,286.86","-","2.14%"
"Jun 06, 2013","1,286.86","1,301.08","1,305.59","1,284.08","-","-1.09%"
"Jun 05, 2013","1,301.08","1,322.39","1,328.79","1,299.66","-","-1.61%"
"Jun 04, 2013","1,322.39","1,319.01","1,343.25","1,319.01","-","0.26%"
"Jun 03, 2013","1,319.01","1,331.43","1,337.08","1,302.97","-","-0.93%"
"May 31, 2013","1,331.43","1,350.42","1,362.81","1,321.84","-","-1.41%"
"May 30, 2013","1,350.42","1,360.06","1,369.50","1,346.37","-","-0.71%"
"May 29, 2013","1,360.06","1,399.11","1,402.57","1,359.58","-","-2.79%"
"May 28, 2013","1,399.11","1,385.08","1,409.64","1,384.77","-","1.01%"
"May 27, 2013","1,385.08","1,388.52","1,395.36","1,380.24","-","-0.25%"
"May 24, 2013","1,388.52","1,400.84","1,413.73","1,383.44","-","-0.88%"
"May 23, 2013","1,400.84","1,461.93","1,463.84","1,395.63","-","-4.18%"
"May 22, 2013","1,461.93","1,433.02","1,471.56","1,431.37","-","2.02%"
"May 21, 2013","1,433.02","1,417.05","1,437.11","1,412.14","-","1.13%"
"May 20, 2013","1,417.05","1,405.34","1,424.87","1,405.34","-","0.83%"
"May 17, 2013","1,405.34","1,380.58","1,409.01","1,377.08","-","1.79%"
"May 16, 2013","1,380.58","1,391.01","1,397.47","1,380.06","-","-0.75%"
"May 15, 2013","1,391.01","1,412.69","1,426.85","1,385.47","-","-1.53%"
"May 14, 2013","1,412.69","1,422.29","1,431.68","1,406.10","-","-0.67%"
"May 13, 2013","1,422.29","1,429.78","1,433.48","1,415.04","-","-0.52%"
"May 10, 2013","1,429.78","1,452.17","1,457.30","1,425.08","-","-1.54%"
"May 08, 2013","1,452.17","1,451.84","1,456.80","1,439.91","-","0.02%"
"May 07, 2013","1,451.84","1,432.15","1,454.06","1,427.64","-","1.37%"
"May 06, 2013","1,432.15","1,429.86","1,437.79","1,425.21","-","0.16%"
"May 03, 2013","1,429.86","1,387.47","1,429.86","1,387.38","-","3.06%"
"May 02, 2013","1,387.47","1,407.21","1,407.29","1,382.69","-","-1.40%"
"Apr 30, 2013","1,407.21","1,387.54","1,408.37","1,379.76","-","1.42%"
"Apr 29, 2013","1,387.54","1,382.22","1,389.89","1,378.49","-","0.38%"
"Apr 26, 2013","1,382.22","1,387.98","1,388.35","1,369.59","-","-0.41%"
"Apr 25, 2013","1,387.98","1,375.40","1,394.98","1,373.15","-","0.91%"
"Apr 24, 2013","1,375.40","1,333.89","1,376.36","1,330.98","-","3.11%"
"Apr 23, 2013","1,333.89","1,329.14","1,334.62","1,314.12","-","0.36%"
"Apr 22, 2013","1,329.14","1,336.46","1,353.41","1,316.77","-","-0.55%"
"Apr 19, 2013","1,336.46","1,327.55","1,349.71","1,327.40","-","0.67%"
"Apr 18, 2013","1,327.55","1,327.92","1,346.53","1,322.02","-","-0.03%"
"Apr 17, 2013","1,327.92","1,356.65","1,369.69","1,326.57","-","-2.12%"
"Apr 16, 2013","1,356.65","1,366.53","1,373.77","1,351.87","-","-0.72%"
"Apr 15, 2013","1,366.53","1,405.47","1,409.29","1,356.71","-","-2.77%"
"Apr 12, 2013","1,405.47","1,433.08","1,433.87","1,401.34","-","-1.93%"
"Apr 11, 2013","1,433.08","1,453.81","1,457.05","1,427.92","-","-1.43%"
"Apr 10, 2013","1,453.81","1,439.46","1,459.72","1,439.46","-","1.00%"
"Apr 09, 2013","1,439.46","1,419.63","1,441.66","1,419.20","-","1.40%"
"Apr 08, 2013","1,419.63","1,411.09","1,428.27","1,411.09","-","0.61%"
"Apr 05, 2013","1,411.09","1,419.45","1,425.40","1,404.22","-","-0.59%"
"Apr 04, 2013","1,419.45","1,425.99","1,432.26","1,408.16","-","-0.46%"
"Apr 03, 2013","1,425.99","1,440.10","1,441.15","1,424.42","-","-0.98%"
"Apr 02, 2013","1,440.10","1,445.57","1,452.31","1,437.41","-","-0.38%"
"Apr 01, 2013","1,445.57","1,460.04","1,460.04","1,444.98","-","-0.99%"
"Mar 29, 2013","1,460.04","1,454.72","1,460.31","1,452.39","-","0.37%"
"Mar 28, 2013","1,454.72","1,446.04","1,455.18","1,435.14","-","0.60%"
"Mar 27, 2013","1,446.04","1,445.46","1,455.63","1,432.36","-","0.04%"
"Mar 26, 2013","1,445.46","1,458.80","1,461.76","1,438.41","-","-0.91%"
"Mar 25, 2013","1,458.80","1,470.91","1,493.82","1,457.88","-","-0.82%"
"Mar 22, 2013","1,470.91","1,485.73","1,487.06","1,470.53","-","-1.00%"
"Mar 21, 2013","1,485.73","1,489.34","1,496.06","1,483.46","-","-0.24%"
"Mar 20, 2013","1,489.34","1,478.82","1,490.95","1,465.86","-","0.71%"
"Mar 19, 2013","1,478.82","1,494.30","1,501.77","1,477.70","-","-1.04%"
"Mar 18, 2013","1,494.30","1,537.66","1,538.91","1,477.81","-","-2.82%"
"Mar 15, 2013","1,537.66","1,535.73","1,556.58","1,535.19","-","0.13%"
"Mar 14, 2013","1,535.73","1,531.14","1,540.39","1,524.95","-","0.30%"
"Mar 13, 2013","1,531.14","1,542.55","1,548.74","1,528.93","-","-0.74%"
"Mar 12, 2013","1,542.55","1,539.87","1,545.76","1,530.67","-","0.17%"
"Mar 11, 2013","1,539.87","1,532.09","1,553.35","1,531.83","-","0.51%"
"Mar 07, 2013","1,532.09","1,529.32","1,536.30","1,527.61","-","0.18%"
"Mar 06, 2013","1,529.32","1,523.34","1,538.77","1,523.34","-","0.39%"
"Mar 05, 2013","1,523.34","1,498.79","1,525.49","1,498.46","-","1.64%"
"Mar 04, 2013","1,498.79","1,509.80","1,514.95","1,494.71","-","-0.73%"
"Mar 01, 2013","1,509.80","1,534.41","1,537.27","1,505.68","-","-1.60%"
